process_size,priority,arrival_time,process_type,time_of_day,burst_time
0.0002717971801757,0,1810627494172,2,0,2.0
0.001474380493164,103,2373350421416,2,0,300.0
0.0002317428588867,0,204389347359,2,0,2.0
0.00262451171875,200,1892214193263,1,0,300.0
0.0,360,1645022954884,2,0,300.0
0.004364013671875,103,409734022376,1,0,300.0
0.000441551208496,25,2024567099839,2,0,300.0
0.0019798278808593,0,65479712242,0,0,300.0
0.0026054382324218,0,1941329480704,0,0,1.0
0.0,0,753695484479,0,0,2.0
0.0,200,1931126668014,1,0,300.0
0.0050201416015625,119,1911964985696,1,0,300.0
0.0022125244140625,0,2583913101038,0,0,2.0
0.0002317428588867,0,1675635736063,2,0,2.0
0.001953125,200,1800049662724,1,0,300.0
0.001474380493164,103,2519086541668,2,0,300.0
0.00262451171875,0,2455104841678,0,0,300.0
0.0,119,1774911567908,1,0,300.0
0.0,360,1393599555186,2,0,72.0
0.0002317428588867,0,1833846802637,2,0,2.0
0.0,0,1019071360312,0,0,2.0
0.0097503662109375,103,157293071435,2,0,300.0
0.0025367736816406,0,2518931498126,0,0,300.0
0.0046463012695312,103,2362866262013,1,0,300.0
0.00262451171875,0,2456605063556,0,0,4.0
0.000227928161621,0,270780695988,2,0,241.0
0.0014705657958984,117,550363268372,1,0,23.0
0.000889778137207,103,1478057557249,0,0,300.0
0.000441551208496,25,724460239989,2,0,300.0
0.0036125183105468,200,1866793660830,1,0,300.0
0.0,0,800842003699,0,0,2.0
0.0024757385253906,0,1706890365845,0,0,28.0
0.00390625,0,1438584349277,0,0,300.0
0.000227928161621,0,98450159172,2,0,241.0
0.00262451171875,0,2493586158667,0,0,4.0
0.0001955032348632,0,454639734729,2,0,300.0
0.00262451171875,0,2585785102735,0,0,3.0
0.0,0,1026502320543,0,0,2.0
0.00262451171875,200,125268590651,1,0,300.0
0.0,0,852438331815,0,0,2.0
0.0,0,996430471286,0,0,2.0
0.00262451171875,200,1877909216639,1,0,300.0
0.018951416015625,103,862214044790,0,0,300.0
0.0,360,297829476018,2,0,300.0
0.0,0,1011349219269,0,0,2.0
0.0002317428588867,0,1346422758600,2,0,2.0
0.00262451171875,0,2474168873953,0,0,300.0
0.0,0,1004341395863,0,0,2.0
